FIPS,State,Year,Month,Population,LaborForce,LF_Percent,Employed,Emp_Percent,Unemployed,Unemp_Rate
1,Alabama,1976,1,2605000,1486509,57.1,1387606,53.3,98903,6.7
2,Alaska,1976,1,232000,160709,69.3,149226,64.3,11483,7.1
4,Arizona,1976,1,1621000,963980,59.5,865261,53.4,98719,10.2
5,Arkansas,1976,1,1536000,889912,57.9,825233,53.7,64679,7.3
6,California,1976,1,15621000,9770553,62.5,8873133,56.8,897420,9.2
37,Los Angeles County,1976,1,5273000,3371503,63.9,3072632,58.3,298871,8.9
8,Colorado,1976,1,1832000,1232215,67.3,1161075,63.4,71140,5.8
9,Connecticut,1976,1,2248000,1440708,64.1,1301224,57.9,139484,9.7
10,Delaware,1976,1,417000,261577,62.7,240636,57.7,20941,8.0
11,District of Columbia,1976,1,520000,334885,64.4,305475,58.7,29410,8.8
12,Florida,1976,1,6421000,3582095,55.8,3236530,50.4,345565,9.6
13,Georgia,1976,1,3522000,2245347,63.8,2057594,58.4,187753,8.4
15,Hawaii,1976,1,583000,407611,69.9,368546,63.2,39065,9.6
16,Idaho,1976,1,580000,366151,63.1,345739,59.6,20412,5.6
17,Illinois,1976,1,8127000,5124965,63.1,4785909,58.9,339056,6.6
18,Indiana,1976,1,3789000,2425548,64.0,2266110,59.8,159438,6.6
19,Iowa,1976,1,2066000,1330037,64.4,1271761,61.6,58276,4.4
20,Kansas,1976,1,1635000,1066303,65.2,1021475,62.5,44828,4.2
21,Kentucky,1976,1,2459000,1487555,60.5,1403925,57.1,83630,5.6
22,Louisiana,1976,1,2672000,1519104,56.9,1422795,53.2,96309,6.3
23,Maine,1976,1,764000,474334,62.1,433277,56.7,41057,8.7
24,Maryland,1976,1,2954000,1898335,64.3,1775111,60.1,123224,6.5
25,Massachusetts,1976,1,4194000,2717090,64.8,2430186,57.9,286904,10.6
26,Michigan,1976,1,6417000,3952109,61.6,3561309,55.5,390800,9.9
27,Minnesota,1976,1,2788000,1826878,65.5,1719782,61.7,107096,5.9
28,Mississippi,1976,1,1640000,963896,58.8,899810,54.9,64086,6.6
29,Missouri,1976,1,3464000,2095842,60.5,1969730,56.9,126112,6.0
30,Montana,1976,1,531000,332098,62.5,312404,58.8,19694,5.9
31,Nebraska,1976,1,1095000,708795,64.7,685821,62.6,22974,3.2
32,Nevada,1976,1,451000,321823,71.4,292292,64.8,29531,9.2
33,New Hampshire,1976,1,593000,390460,65.8,364957,61.5,25503,6.5
34,New Jersey,1976,1,5358000,3294619,61.5,2957075,55.2,337544,10.2
35,New Mexico,1976,1,792000,480333,60.6,438991,55.4,41342,8.6
36,New York,1976,1,13196000,7661586,58.1,6872892,52.1,788694,10.3
51000,New York city,1976,1,5694000,3066821,53.9,2722796,47.8,344025,11.2
37,North Carolina,1976,1,3898000,2595504,66.6,2426320,62.2,169184,6.5
38,North Dakota,1976,1,442000,277046,62.7,267218,60.5,9828,3.5
39,Ohio,1976,1,7701000,4750448,61.7,4367375,56.7,383073,8.1
40,Oklahoma,1976,1,1999000,1188164,59.4,1119186,56.0,68978,5.8
41,Oregon,1976,1,1716000,1080995,63.0,978055,57.0,102940,9.5
42,Pennsylvania,1976,1,8774000,5122095,58.4,4708756,53.7,413339,8.1
44,Rhode Island,1976,1,691000,441116,63.8,406953,58.9,34163,7.7
45,South Carolina,1976,1,1984000,1295681,65.3,1200635,60.5,95046,7.3
46,South Dakota,1976,1,477000,309194,64.8,298921,62.7,10273,3.3
47,Tennessee,1976,1,3078000,1836041,59.7,1725553,56.1,110488,6.0
48,Texas,1976,1,8818000,5617371,63.7,5289253,60.0,328118,5.8
49,Utah,1976,1,824000,517460,62.8,487236,59.1,30224,5.8
50,Vermont,1976,1,339000,216108,63.7,197673,58.3,18435,8.5
51,Virginia,1976,1,3534000,2327541,65.9,2187221,61.9,140320,6.0
53,Washington,1976,1,2598000,1583782,61.0,1448684,55.8,135098,8.5
54,West Virginia,1976,1,1352000,710106,52.5,657528,48.6,52578,7.4
55,Wisconsin,1976,1,3245000,2129796,65.6,2006373,61.8,123423,5.8
56,Wyoming,1976,1,270000,176413,65.3,169164,62.7,7249,4.1
1,Alabama,1976,2,2610000,1485944,56.9,1387267,53.2,98677,6.6
2,Alaska,1976,2,234000,160551,68.6,149125,63.7,11426,7.1
4,Arizona,1976,2,1626000,963209,59.2,864530,53.2,98679,10.2
5,Arkansas,1976,2,1538000,889658,57.8,824864,53.6,64794,7.3
6,California,1976,2,15657000,9764813,62.4,8868962,56.6,895851,9.2
37,Los Angeles County,1976,2,5283000,3370462,63.8,3072073,58.2,298389,8.9
8,Colorado,1976,2,1837000,1231952,67.1,1160975,63.2,70977,5.8
9,Connecticut,1976,2,2251000,1439906,64.0,1300335,57.8,139571,9.7
10,Delaware,1976,2,418000,261472,62.6,240635,57.6,20837,8.0
11,District of Columbia,1976,2,519000,334980,64.5,305566,58.9,29414,8.8
12,Florida,1976,2,6437000,3581194,55.6,3235370,50.3,345824,9.7
13,Georgia,1976,2,3528000,2244305,63.6,2056467,58.3,187838,8.4
15,Hawaii,1976,2,585000,407502,69.7,368392,63.0,39110,9.6
16,Idaho,1976,2,582000,365866,62.9,345490,59.4,20376,5.6
17,Illinois,1976,2,8136000,5123702,63.0,4784923,58.8,338779,6.6
18,Indiana,1976,2,3793000,2424654,63.9,2264847,59.7,159807,6.6
19,Iowa,1976,2,2069000,1329761,64.3,1271348,61.4,58413,4.4
20,Kansas,1976,2,1637000,1065778,65.1,1020934,62.4,44844,4.2
21,Kentucky,1976,2,2465000,1487147,60.3,1403524,56.9,83623,5.6
22,Louisiana,1976,2,2678000,1518384,56.7,1422409,53.1,95975,6.3
23,Maine,1976,2,766000,474246,61.9,433187,56.6,41059,8.7
24,Maryland,1976,2,2958000,1897481,64.1,1774571,60.0,122910,6.5
25,Massachusetts,1976,2,4198000,2716289,64.7,2428737,57.9,287552,10.6
26,Michigan,1976,2,6424000,3950701,61.5,3559095,55.4,391606,9.9
27,Minnesota,1976,2,2793000,1825936,65.4,1718981,61.5,106955,5.9
28,Mississippi,1976,2,1644000,963636,58.6,899653,54.7,63983,6.6
29,Missouri,1976,2,3469000,2094667,60.4,1968740,56.8,125927,6.0
30,Montana,1976,2,532000,332029,62.4,312378,58.7,19651,5.9
31,Nebraska,1976,2,1096000,708466,64.6,685507,62.5,22959,3.2
32,Nevada,1976,2,454000,321589,70.8,292023,64.3,29566,9.2
33,New Hampshire,1976,2,595000,390099,65.6,364611,61.3,25488,6.5
34,New Jersey,1976,2,5363000,3293649,61.4,2956551,55.1,337098,10.2
35,New Mexico,1976,2,795000,480035,60.4,438745,55.2,41290,8.6
36,New York,1976,2,13202000,7659445,58.0,6871925,52.1,787520,10.3
51000,New York city,1976,2,5692000,3065658,53.9,2722198,47.8,343460,11.2
37,North Carolina,1976,2,3905000,2594800,66.4,2425263,62.1,169537,6.5
38,North Dakota,1976,2,443000,276880,62.5,267097,60.3,9783,3.5
39,Ohio,1976,2,7706000,4750478,61.6,4366743,56.7,383735,8.1
40,Oklahoma,1976,2,2003000,1187857,59.3,1118938,55.9,68919,5.8
41,Oregon,1976,2,1720000,1080139,62.8,977368,56.8,102771,9.5
42,Pennsylvania,1976,2,8780000,5121535,58.3,4707610,53.6,413925,8.1
44,Rhode Island,1976,2,692000,441085,63.7,406968,58.8,34117,7.7
45,South Carolina,1976,2,1988000,1295491,65.2,1200448,60.4,95043,7.3
46,South Dakota,1976,2,478000,309053,64.7,298798,62.5,10255,3.3
47,Tennessee,1976,2,3084000,1834895,59.5,1724573,55.9,110322,6.0
48,Texas,1976,2,8844000,5613631,63.5,5285584,59.8,328047,5.8
49,Utah,1976,2,826000,517127,62.6,486873,58.9,30254,5.9
50,Vermont,1976,2,340000,216007,63.5,197554,58.1,18453,8.5
51,Virginia,1976,2,3543000,2326999,65.7,2186785,61.7,140214,6.0
53,Washington,1976,2,2604000,1582462,60.8,1447744,55.6,134718,8.5
54,West Virginia,1976,2,1355000,710194,52.4,657606,48.5,52588,7.4
55,Wisconsin,1976,2,3248000,2128970,65.5,2005488,61.7,123482,5.8
56,Wyoming,1976,2,271000,176215,65.0,168972,62.4,7243,4.1
1,Alabama,1976,3,2615000,1486172,56.8,1388303,53.1,97869,6.6
2,Alaska,1976,3,236000,160663,68.1,149350,63.3,11313,7.0
4,Arizona,1976,3,1631000,963342,59.1,865188,53.0,98154,10.2
5,Arkansas,1976,3,1539000,889444,57.8,824708,53.6,64736,7.3
6,California,1976,3,15694000,9762441,62.2,8872549,56.5,889892,9.1
37,Los Angeles County,1976,3,5292000,3370116,63.7,3073470,58.1,296646,8.8
8,Colorado,1976,3,1841000,1231229,66.9,1160933,63.1,70296,5.7
9,Connecticut,1976,3,2253000,1440462,63.9,1301184,57.8,139278,9.7
10,Delaware,1976,3,418000,261476,62.6,240619,57.6,20857,8.0
11,District of Columbia,1976,3,519000,335023,64.6,305775,58.9,29248,8.7
12,Florida,1976,3,6452000,3580840,55.5,3236509,50.2,344331,9.6
13,Georgia,1976,3,3534000,2244744,63.5,2057458,58.2,187286,8.3
15,Hawaii,1976,3,586000,407567,69.6,368557,62.9,39010,9.6
16,Idaho,1976,3,583000,365933,62.8,345578,59.3,20355,5.6
17,Illinois,1976,3,8146000,5125441,62.9,4787071,58.8,338370,6.6
18,Indiana,1976,3,3797000,2424282,63.8,2265943,59.7,158339,6.5
19,Iowa,1976,3,2072000,1329743,64.2,1271615,61.4,58128,4.4
20,Kansas,1976,3,1640000,1066000,65.0,1021134,62.3,44866,4.2
21,Kentucky,1976,3,2470000,1487375,60.2,1403888,56.8,83487,5.6
22,Louisiana,1976,3,2685000,1518248,56.5,1422210,53.0,96038,6.3
23,Maine,1976,3,767000,474452,61.9,433490,56.5,40962,8.6
24,Maryland,1976,3,2962000,1897262,64.1,1774503,59.9,122759,6.5
25,Massachusetts,1976,3,4201000,2715151,64.6,2428426,57.8,286725,10.6
26,Michigan,1976,3,6430000,3952812,61.5,3561404,55.4,391408,9.9
27,Minnesota,1976,3,2797000,1826119,65.3,1720116,61.5,106003,5.8
28,Mississippi,1976,3,1647000,963846,58.5,900604,54.7,63242,6.6
29,Missouri,1976,3,3473000,2095001,60.3,1969277,56.7,125724,6.0
30,Montana,1976,3,533000,331939,62.3,312368,58.6,19571,5.9
31,Nebraska,1976,3,1097000,708334,64.6,685622,62.5,22712,3.2
32,Nevada,1976,3,456000,321686,70.5,292190,64.1,29496,9.2
33,New Hampshire,1976,3,596000,390329,65.5,364826,61.2,25503,6.5
34,New Jersey,1976,3,5367000,3295544,61.4,2958434,55.1,337110,10.2
35,New Mexico,1976,3,798000,480143,60.2,438895,55.0,41248,8.6
36,New York,1976,3,13207000,7660215,58.0,6875212,52.1,785003,10.2
51000,New York city,1976,3,5690000,3065397,53.9,2722771,47.9,342626,11.2
37,North Carolina,1976,3,3912000,2595586,66.3,2426984,62.0,168602,6.5
38,North Dakota,1976,3,444000,276893,62.4,267140,60.2,9753,3.5
39,Ohio,1976,3,7711000,4751328,61.6,4368429,56.7,382899,8.1
40,Oklahoma,1976,3,2007000,1187569,59.2,1118933,55.8,68636,5.8
41,Oregon,1976,3,1724000,1079205,62.6,977310,56.7,101895,9.4
42,Pennsylvania,1976,3,8786000,5122602,58.3,4707066,53.6,415536,8.1
44,Rhode Island,1976,3,693000,441262,63.7,407226,58.8,34036,7.7
45,South Carolina,1976,3,1992000,1295257,65.0,1200874,60.3,94383,7.3
46,South Dakota,1976,3,478000,308986,64.6,298885,62.5,10101,3.3
47,Tennessee,1976,3,3091000,1834582,59.4,1724652,55.8,109930,6.0
48,Texas,1976,3,8870000,5617045,63.3,5287449,59.6,329596,5.9
49,Utah,1976,3,828000,517338,62.5,487126,58.8,30212,5.8
50,Vermont,1976,3,341000,216182,63.4,197690,58.0,18492,8.6
51,Virginia,1976,3,3551000,2326893,65.5,2187481,61.6,139412,6.0
53,Washington,1976,3,2611000,1582492,60.6,1448264,55.5,134228,8.5
54,West Virginia,1976,3,1358000,710718,52.3,658015,48.5,52703,7.4
55,Wisconsin,1976,3,3252000,2129130,65.5,2006210,61.7,122920,5.8
56,Wyoming,1976,3,272000,176310,64.8,169099,62.2,7211,4.1
1,Alabama,1976,4,2620000,1488773,56.8,1392012,53.1,96761,6.5
2,Alaska,1976,4,237000,161579,68.2,150293,63.4,11286,7.0
4,Arizona,1976,4,1636000,966551,59.1,869736,53.2,96815,10.0
5,Arkansas,1976,4,1541000,889753,57.7,825794,53.6,63959,7.2
6,California,1976,4,15731000,9779341,62.2,8898260,56.6,881081,9.0
37,Los Angeles County,1976,4,5302000,3373285,63.6,3079341,58.1,293944,8.7
8,Colorado,1976,4,1846000,1230613,66.7,1161132,62.9,69481,5.6
9,Connecticut,1976,4,2255000,1444710,64.1,1306695,57.9,138015,9.6
10,Delaware,1976,4,419000,261874,62.5,240513,57.4,21361,8.2
11,District of Columbia,1976,4,518000,334485,64.6,305689,59.0,28796,8.6
12,Florida,1976,4,6468000,3582925,55.4,3243816,50.2,339109,9.5
13,Georgia,1976,4,3540000,2249912,63.6,2064393,58.3,185519,8.2
15,Hawaii,1976,4,588000,408037,69.4,369504,62.8,38533,9.4
16,Idaho,1976,4,585000,367194,62.8,346778,59.3,20416,5.6
17,Illinois,1976,4,8155000,5133074,62.9,4795040,58.8,338034,6.6
18,Indiana,1976,4,3801000,2426481,63.8,2273744,59.8,152737,6.3
19,Iowa,1976,4,2075000,1330963,64.1,1274056,61.4,56907,4.3
20,Kansas,1976,4,1642000,1068420,65.1,1023588,62.3,44832,4.2
21,Kentucky,1976,4,2475000,1489193,60.2,1406066,56.8,83127,5.6
22,Louisiana,1976,4,2692000,1520706,56.5,1423368,52.9,97338,6.4
23,Maine,1976,4,769000,475218,61.8,434540,56.5,40678,8.6
24,Maryland,1976,4,2966000,1899792,64.1,1776113,59.9,123679,6.5
25,Massachusetts,1976,4,4204000,2715429,64.6,2433934,57.9,281495,10.4
26,Michigan,1976,4,6436000,3962438,61.6,3575206,55.6,387232,9.8
27,Minnesota,1976,4,2802000,1830321,65.3,1726097,61.6,104224,5.7
28,Mississippi,1976,4,1650000,965206,58.5,903451,54.8,61755,6.4
29,Missouri,1976,4,3477000,2100672,60.4,1974284,56.8,126388,6.0
30,Montana,1976,4,534000,331813,62.1,312319,58.5,19494,5.9
31,Nebraska,1976,4,1098000,709213,64.6,687043,62.6,22170,3.1
32,Nevada,1976,4,458000,322860,70.5,293728,64.1,29132,9.0
33,New Hampshire,1976,4,598000,392335,65.6,366764,61.3,25571,6.5
34,New Jersey,1976,4,5372000,3303355,61.5,2964587,55.2,338768,10.3
35,New Mexico,1976,4,801000,481645,60.1,440280,55.0,41365,8.6
36,New York,1976,4,13213000,7667961,58.0,6885824,52.1,782137,10.2
51000,New York city,1976,4,5689000,3068554,53.9,2726381,47.9,342173,11.2
37,North Carolina,1976,4,3919000,2599219,66.3,2434533,62.1,164686,6.3
38,North Dakota,1976,4,444000,277562,62.5,267684,60.3,9878,3.6
39,Ohio,1976,4,7716000,4751752,61.6,4374551,56.7,377201,7.9
40,Oklahoma,1976,4,2011000,1187980,59.1,1120021,55.7,67959,5.7
41,Oregon,1976,4,1728000,1080341,62.5,980025,56.7,100316,9.3
42,Pennsylvania,1976,4,8792000,5126048,58.3,4709038,53.6,417010,8.1
44,Rhode Island,1976,4,693000,441646,63.7,407652,58.8,33994,7.7
45,South Carolina,1976,4,1996000,1295058,64.9,1202600,60.3,92458,7.1
46,South Dakota,1976,4,479000,309381,64.6,299531,62.5,9850,3.2
47,Tennessee,1976,4,3097000,1837926,59.3,1728303,55.8,109623,6.0
48,Texas,1976,4,8896000,5640570,63.4,5306954,59.7,333616,5.9
49,Utah,1976,4,830000,519146,62.5,489229,58.9,29917,5.8
50,Vermont,1976,4,341000,216980,63.6,198487,58.2,18493,8.5
51,Virginia,1976,4,3559000,2328462,65.4,2190759,61.6,137703,5.9
53,Washington,1976,4,2617000,1588022,60.7,1453403,55.5,134619,8.5
54,West Virginia,1976,4,1360000,711417,52.3,658570,48.4,52847,7.4
55,Wisconsin,1976,4,3256000,2132493,65.5,2011414,61.8,121079,5.7
56,Wyoming,1976,4,273000,177328,65.0,170189,62.3,7139,4.0
1,Alabama,1976,5,2626000,1492486,56.8,1396244,53.2,96242,6.4
2,Alaska,1976,5,239000,162885,68.2,151490,63.4,11395,7.0
4,Arizona,1976,5,1642000,971452,59.2,875830,53.3,95622,9.8
5,Arkansas,1976,5,1542000,890591,57.8,827725,53.7,62866,7.1
6,California,1976,5,15768000,9808917,62.2,8933049,56.7,875868,8.9
37,Los Angeles County,1976,5,5311000,3378736,63.6,3086404,58.1,292332,8.7
8,Colorado,1976,5,1850000,1230693,66.5,1161582,62.8,69111,5.6
9,Connecticut,1976,5,2257000,1450659,64.3,1314161,58.2,136498,9.4
10,Delaware,1976,5,420000,262488,62.5,240393,57.2,22095,8.4
11,District of Columbia,1976,5,518000,333632,64.4,305301,58.9,28331,8.5
12,Florida,1976,5,6483000,3586919,55.3,3253738,50.2,333181,9.3
13,Georgia,1976,5,3547000,2257245,63.6,2073748,58.5,183497,8.1
15,Hawaii,1976,5,590000,408698,69.3,370752,62.8,37946,9.3
16,Idaho,1976,5,587000,369051,62.9,348547,59.4,20504,5.6
17,Illinois,1976,5,8164000,5142758,63.0,4804414,58.8,338344,6.6
18,Indiana,1976,5,3806000,2430949,63.9,2284714,60.0,146235,6.0
19,Iowa,1976,5,2078000,1332817,64.1,1277434,61.5,55383,4.2
20,Kansas,1976,5,1644000,1071962,65.2,1027250,62.5,44712,4.2
21,Kentucky,1976,5,2480000,1491671,60.1,1409052,56.8,82619,5.5
22,Louisiana,1976,5,2699000,1524862,56.5,1425478,52.8,99384,6.5
23,Maine,1976,5,771000,476076,61.7,435724,56.5,40352,8.5
24,Maryland,1976,5,2971000,1904257,64.1,1778987,59.9,125270,6.6
25,Massachusetts,1976,5,4207000,2717944,64.6,2443287,58.1,274657,10.1
26,Michigan,1976,5,6442000,3974858,61.7,3593733,55.8,381125,9.6
27,Minnesota,1976,5,2806000,1836736,65.5,1733877,61.8,102859,5.6
28,Mississippi,1976,5,1653000,966966,58.5,906480,54.8,60486,6.3
29,Missouri,1976,5,3481000,2109045,60.6,1981458,56.9,127587,6.0
30,Montana,1976,5,535000,331762,62.0,312291,58.4,19471,5.9
31,Nebraska,1976,5,1100000,710813,64.6,689144,62.6,21669,3.0
32,Nevada,1976,5,460000,324545,70.6,295870,64.3,28675,8.8
33,New Hampshire,1976,5,599000,395133,66.0,369477,61.7,25656,6.5
34,New Jersey,1976,5,5376000,3312856,61.6,2971644,55.3,341212,10.3
35,New Mexico,1976,5,804000,483813,60.2,442206,55.0,41607,8.6
36,New York,1976,5,13219000,7679696,58.1,6898103,52.2,781593,10.2
51000,New York city,1976,5,5687000,3073809,54.0,2731012,48.0,342797,11.2
37,North Carolina,1976,5,3926000,2604095,66.3,2444121,62.3,159974,6.1
38,North Dakota,1976,5,445000,278598,62.6,268494,60.3,10104,3.6
39,Ohio,1976,5,7721000,4751468,61.5,4382002,56.8,369466,7.8
40,Oklahoma,1976,5,2015000,1188967,59.0,1121618,55.7,67349,5.7
41,Oregon,1976,5,1732000,1083526,62.6,984398,56.8,99128,9.1
42,Pennsylvania,1976,5,8798000,5129984,58.3,4713619,53.6,416365,8.1
44,Rhode Island,1976,5,694000,442001,63.7,407970,58.8,34031,7.7
45,South Carolina,1976,5,2001000,1295199,64.7,1204682,60.2,90517,7.0
46,South Dakota,1976,5,480000,310110,64.6,300442,62.6,9668,3.1
47,Tennessee,1976,5,3103000,1843927,59.4,1734261,55.9,109666,5.9
48,Texas,1976,5,8922000,5672450,63.6,5334715,59.8,337735,6.0
49,Utah,1976,5,833000,521688,62.6,492150,59.1,29538,5.7
50,Vermont,1976,5,342000,217966,63.7,199530,58.3,18436,8.5
51,Virginia,1976,5,3567000,2331246,65.4,2194994,61.5,136252,5.8
53,Washington,1976,5,2623000,1596500,60.9,1460668,55.7,135832,8.5
54,West Virginia,1976,5,1363000,711625,52.2,658856,48.3,52769,7.4
55,Wisconsin,1976,5,3260000,2137788,65.6,2018684,61.9,119104,5.6
56,Wyoming,1976,5,274000,178771,65.2,171699,62.7,7072,4.0
1,Alabama,1976,6,2631000,1496780,56.9,1400036,53.2,96744,6.5
2,Alaska,1976,6,240000,164431,68.5,152744,63.6,11687,7.1
4,Arizona,1976,6,1647000,977368,59.3,882378,53.6,94990,9.7
5,Arkansas,1976,6,1544000,891875,57.8,830282,53.8,61593,6.9
6,California,1976,6,15804000,9849100,62.3,8970900,56.8,878200,8.9
37,Los Angeles County,1976,6,5321000,3385922,63.6,3093014,58.1,292908,8.7
8,Colorado,1976,6,1855000,1232214,66.4,1162710,62.7,69504,5.6
9,Connecticut,1976,6,2259000,1456512,64.5,1321716,58.5,134796,9.3
10,Delaware,1976,6,420000,263255,62.7,240354,57.2,22901,8.7
11,District of Columbia,1976,6,517000,332549,64.3,304527,58.9,28022,8.4
12,Florida,1976,6,6499000,3592572,55.3,3264492,50.2,328080,9.1
13,Georgia,1976,6,3553000,2265778,63.8,2083923,58.7,181855,8.0
15,Hawaii,1976,6,591000,409438,69.3,372056,63.0,37382,9.1
16,Idaho,1976,6,588000,371227,63.1,350629,59.6,20598,5.5
17,Illinois,1976,6,8174000,5151284,63.0,4812423,58.9,338861,6.6
18,Indiana,1976,6,3810000,2437464,64.0,2296418,60.3,141046,5.8
19,Iowa,1976,6,2081000,1334863,64.1,1280896,61.6,53967,4.0
20,Kansas,1976,6,1647000,1076100,65.3,1031619,62.6,44481,4.1
21,Kentucky,1976,6,2485000,1493917,60.1,1412026,56.8,81891,5.5
22,Louisiana,1976,6,2705000,1530171,56.6,1428409,52.8,101762,6.7
23,Maine,1976,6,772000,476726,61.8,436608,56.6,40118,8.4
24,Maryland,1976,6,2975000,1910010,64.2,1783002,59.9,127008,6.6
25,Massachusetts,1976,6,4210000,2723447,64.7,2456018,58.3,267429,9.8
26,Michigan,1976,6,6448000,3987238,61.8,3612822,56.0,374416,9.4
27,Minnesota,1976,6,2811000,1844819,65.6,1742264,62.0,102555,5.6
28,Mississippi,1976,6,1656000,968782,58.5,908906,54.9,59876,6.2
29,Missouri,1976,6,3485000,2119011,60.8,1989694,57.1,129317,6.1
30,Montana,1976,6,536000,331997,61.9,312494,58.3,19503,5.9
31,Nebraska,1976,6,1101000,713032,64.8,691649,62.8,21383,3.0
32,Nevada,1976,6,462000,326540,70.7,298253,64.6,28287,8.7
33,New Hampshire,1976,6,601000,398184,66.3,372471,62.0,25713,6.5
34,New Jersey,1976,6,5381000,3322019,61.7,2978253,55.3,343766,10.3
35,New Mexico,1976,6,807000,486354,60.3,444340,55.1,42014,8.6
36,New York,1976,6,13224000,7691267,58.2,6908621,52.2,782646,10.2
51000,New York city,1976,6,5685000,3078978,54.2,2735417,48.1,343561,11.2
37,North Carolina,1976,6,3933000,2608989,66.3,2452987,62.4,156002,6.0
38,North Dakota,1976,6,446000,279852,62.7,269449,60.4,10403,3.7
39,Ohio,1976,6,7726000,4750243,61.5,4388570,56.8,361673,7.6
40,Oklahoma,1976,6,2019000,1190347,59.0,1123590,55.7,66757,5.6
41,Oregon,1976,6,1736000,1089071,62.7,990241,57.0,98830,9.1
42,Pennsylvania,1976,6,8804000,5133599,58.3,4720715,53.6,412884,8.0
44,Rhode Island,1976,6,695000,442157,63.6,407902,58.7,34255,7.7
45,South Carolina,1976,6,2005000,1295791,64.6,1206773,60.2,89018,6.9
46,South Dakota,1976,6,480000,311148,64.8,301455,62.8,9693,3.1
47,Tennessee,1976,6,3110000,1852150,59.6,1741786,56.0,110364,6.0
48,Texas,1976,6,8948000,5705046,63.8,5365267,60.0,339779,6.0
49,Utah,1976,6,835000,524508,62.8,495355,59.3,29153,5.6
50,Vermont,1976,6,342000,218847,64.0,200558,58.6,18289,8.4
51,Virginia,1976,6,3575000,2335125,65.3,2199658,61.5,135467,5.8
53,Washington,1976,6,2630000,1607225,61.1,1469309,55.9,137916,8.6
54,West Virginia,1976,6,1366000,710910,52.0,658702,48.2,52208,7.3
55,Wisconsin,1976,6,3263000,2144406,65.7,2026844,62.1,117562,5.5
56,Wyoming,1976,6,275000,180344,65.6,173327,63.0,7017,3.9
